"Date","AAPL","MSFT","META","V","JPM","C","BTC-USD","UEC","GM","ET"
2022-06-30,134.561187744141,250.476409912109,160.493591308594,192.438720703125,103.746795654297,40.8755836486816,19784.7265625,3.07999992370605,30.8816814422607,7.74368906021118
2022-07-01,136.736297607422,253.158309936523,159.279327392578,194.677001953125,105.073448181152,41.6577110290527,19269.3671875,3.30999994277954,31.2997856140137,7.7747278213501
2022-07-05,139.324768066406,256.347381591797,167.40104675293,196.006225585938,104.673789978027,41.4266357421875,20190.115234375,3.07999992370605,31.4748096466064,7.66609811782837
2022-07-06,140.663299560547,259.624389648438,168.9736328125,196.573104858398,103.995292663574,41.0177917480469,20548.24609375,3.02999997138977,30.4052333831787,7.40228509902954
2022-07-07,144.039138793945,261.760162353516,171.382278442383,198.215148925781,106.625617980957,41.711051940918,21637.587890625,3.38000011444092,31.7567920684814,7.65833759307861
2022-07-08,144.718231201172,261.038452148438,170.078414916992,198.967742919922,106.291030883789,41.6132698059082,21731.1171875,3.42000007629395,31.4164772033691,7.72041320800781
2022-07-11,142.582489013672,257.966339111328,162.115951538086,200.424072265625,104.896850585938,41.0533409118652,19970.556640625,3.25,30.0162944793701,7.54970979690552
2022-07-12,143.556884765625,247.394561767578,162.504119873047,200.189483642578,104.999084472656,41.0000114440918,19323.9140625,3.24000000953674,30.6580390930176,7.51091480255127
2022-07-13,143.192733764648,246.468048095703,162.723083496094,199.534637451172,104.013893127441,40.4400749206543,20212.07421875,3.26999998092651,30.8427906036377,7.65057945251465
2022-07-14,146.125671386719,247.79443359375,157.308609008789,201.254821777344,100.379776000977,39.2313117980957,20569.919921875,3.28999996185303,30.7163829803467,7.49539566040039
2022-07-15,147.798858642578,250.369110107422,163.92741394043,205.291442871094,104.980499267578,44.4218597412109,20836.328125,3.36999988555908,31.9609870910645,7.61954259872437
2022-07-18,144.747787475586,247.960205078125,166.445526123047,202.525466918945,103.90234375,44.5018539428711,22485.689453125,3.42000007629395,31.7178993225098,7.82904052734375
2022-07-19,148.615692138672,253.10954284668,174.955444335938,208.829666137695,106.476913452148,46.3327713012695,23389.43359375,3.58999991416931,33.448673248291,8.0928544998169
2022-07-20,150.623474121094,255.781784057617,182.231140136719,208.546173095703,106.458320617676,46.6171798706055,23231.732421875,3.70000004768372,33.798713684082,8.12389183044434
2022-07-21,152.897033691406,258.288269042969,182.310760498047,211.302459716797,107.183280944824,46.7416152954102,23164.62890625,3.49000000953674,34.1584892272949,8.03854084014893
2022-07-22,151.656921386719,253.919067382812,168.475982666016,208.868728637695,106.662788391113,46.1372261047363,22714.978515625,3.23000001907349,33.7112007141113,7.95318937301636
2022-07-25,150.534912109375,252.42692565918,165.868255615234,209.425827026367,107.090339660645,46.359432220459,21361.701171875,3.55999994277954,33.565357208252,8.22476196289062
2022-07-26,149.20622253418,245.668350219727,158.403442382812,207.686096191406,105.417350769043,45.6839485168457,21239.75390625,3.50999999046326,32.4179916381836,8.26355648040771
2022-07-27,154.31428527832,262.091735839844,168.784530639648,205.711730957031,107.108924865723,46.5283050537109,22930.548828125,3.88000011444092,33.7209281921387,8.49633312225342
2022-07-28,154.865463256836,269.572021484375,159.966064453125,206.571853637695,106.709251403809,46.4216461181641,23843.88671875,3.98000001907349,34.7516250610352,8.67479610443115
2022-07-29,159.943984985352,273.794891357422,158.35368347168,207.314651489258,107.22045135498,46.5832023620605,23804.6328125,4.19999980926514,35.2572326660156,8.77566623687744
2022-08-01,158.959762573242,271.132446289062,159.179779052734,206.581619262695,106.151596069336,46.6011505126953,23314.19921875,4.05000019073486,35.7531318664551,8.78342342376709
2022-08-02,157.483428955078,268.021301269531,159.438568115234,201.596908569336,104.497192382812,45.5510139465332,22978.1171875,4.17000007629395,35.1308288574219,8.74462795257568
2022-08-03,163.506805419922,275.482025146484,168.008193969727,203.766754150391,105.593925476074,46.3229141235352,22846.5078125,4.17999982833862,36.2781944274902,8.72911167144775
2022-08-04,163.191864013672,276.632873535156,169.769882202148,208.643920898438,104.432144165039,46.0087699890137,22630.95703125,4.15000009536743,35.2280693054199,8.62048053741455
2022-08-05,162.965194702148,275.911224365234,166.326095581055,210.989654541016,107.592231750488,46.367790222168,23289.314453125,4.26000022888184,35.0627593994141,8.57294082641602
2022-08-08,162.492111206055,273.385314941406,169.451370239258,208.497314453125,106.281723022461,46.1972541809082,23809.486328125,4.23999977111816,36.5212860107422,8.62840461730957
2022-08-09,162.541381835938,275.316253662109,167.73942565918,205.506469726562,107.239036560059,46.7537460327148,23164.318359375,4.11999988555908,35.6072807312012,8.69179058074951
2022-08-10,166.799087524414,282.006591796875,177.50341796875,207.304901123047,110.036659240723,47.7410621643066,23947.642578125,4.26000022888184,36.9005012512207,8.92948722839355
2022-08-11,166.059921264648,279.919494628906,176.657409667969,206.67333984375,111.663192749023,48.4680786132812,23957.529296875,4.28000020980835,37.3963890075684,9.10379791259766
2022-08-12,169.617828369141,284.688537597656,179.653289794922,206.91813659668,113.51277923584,48.8091468811035,24402.818359375,4.32000017166138,38.3881874084473,9.24641609191895
